,pref
448,adventurous
449,adventurous
450,adventurous
451,adventurous
452,adventurous
453,adventurous
454,adventurous
455,other
456,adventurous
457,adventurous
458,adventurous
459,adventurous
460,adventurous
461,adventurous
462,academic
463,adventurous
464,adventurous
465,academic
466,adventurous
467,adventurous
468,adventurous
469,adventurous
470,other
471,adventurous
472,adventurous
473,adventurous
474,adventurous
475,adventurous
476,adventurous
477,academic
478,adventurous
479,other
480,other
481,adventurous
482,academic
483,adventurous
484,adventurous
485,adventurous
486,adventurous
487,adventurous
488,adventurous
489,adventurous
490,adventurous
491,adventurous
492,adventurous
493,adventurous
494,adventurous
495,adventurous
496,other
497,other
498,adventurous
499,adventurous
500,other
501,adventurous
502,adventurous
503,adventurous
504,academic
505,adventurous
506,adventurous
507,adventurous
508,adventurous
509,other
510,adventurous
511,adventurous
512,adventurous
513,adventurous
514,adventurous
515,adventurous
516,adventurous
517,adventurous
518,adventurous
519,adventurous
520,other
521,academic
522,other
523,adventurous
524,adventurous
525,adventurous
526,other
527,adventurous
528,adventurous
529,adventurous
530,adventurous
531,adventurous
532,adventurous
533,adventurous
534,academic
535,adventurous
536,adventurous
537,academic
538,adventurous
539,adventurous
540,other
541,adventurous
542,adventurous
543,adventurous
544,adventurous
545,adventurous
546,adventurous
547,adventurous
548,academic
549,adventurous
550,other
551,adventurous
552,adventurous
553,academic
554,adventurous
555,adventurous
556,other
557,other
558,adventurous
559,adventurous
560,adventurous
561,adventurous
562,adventurous
563,academic
564,adventurous
565,adventurous
566,adventurous
567,adventurous
568,academic
569,adventurous
570,academic
571,adventurous
572,adventurous
573,other
574,academic
575,academic
576,adventurous
577,adventurous
578,adventurous
579,adventurous
580,adventurous
581,adventurous
582,adventurous
583,adventurous
584,adventurous
585,adventurous
586,adventurous
587,adventurous
588,adventurous
589,adventurous
590,adventurous
591,adventurous
592,adventurous
593,adventurous
594,adventurous
595,academic
596,adventurous
597,adventurous
598,adventurous
599,adventurous
600,adventurous
601,adventurous
602,other
603,adventurous
604,adventurous
605,adventurous
606,adventurous
607,adventurous
608,other
609,adventurous
610,adventurous
611,other
612,academic
613,other
614,adventurous
615,adventurous
616,adventurous
617,adventurous
618,adventurous
619,adventurous
620,adventurous
621,adventurous
622,other
623,academic
624,adventurous
625,adventurous
626,adventurous
627,adventurous
628,adventurous
629,other
630,other
631,adventurous
632,adventurous
633,other
634,other
635,academic
636,adventurous
637,adventurous
638,adventurous
639,adventurous
640,adventurous
641,adventurous
642,adventurous
643,adventurous
644,adventurous
645,adventurous
646,adventurous
647,other
648,academic
649,adventurous
650,adventurous
651,adventurous
652,adventurous
653,adventurous
654,adventurous
655,academic
656,adventurous
657,adventurous
658,other
659,adventurous
660,adventurous
661,academic
662,adventurous
663,academic
664,adventurous
665,adventurous
666,adventurous
667,adventurous
668,adventurous
669,academic
670,adventurous
671,adventurous
672,adventurous
673,adventurous
674,adventurous
675,adventurous
676,academic
677,adventurous
678,adventurous
679,other
680,adventurous
681,adventurous
682,adventurous
683,academic
684,adventurous
685,other
686,adventurous
687,adventurous
688,adventurous
689,adventurous
690,adventurous
691,other
692,adventurous
693,adventurous
694,adventurous
695,adventurous
696,academic
697,adventurous
698,adventurous
699,adventurous
700,adventurous
701,other
702,adventurous
703,adventurous
704,academic
705,adventurous
706,adventurous
707,adventurous
708,adventurous
709,adventurous
710,adventurous
711,adventurous
712,other
713,adventurous
714,other
715,academic
716,adventurous
717,other
718,adventurous
719,adventurous
720,adventurous
721,adventurous
722,adventurous
723,adventurous
724,adventurous
725,adventurous
726,adventurous
727,adventurous
728,adventurous
729,adventurous
730,adventurous
731,adventurous
732,adventurous
733,adventurous
734,other
735,adventurous
736,adventurous
737,academic
738,academic
739,adventurous
740,adventurous
741,adventurous
742,adventurous
743,adventurous
744,other
745,adventurous
746,adventurous
747,adventurous
748,adventurous
749,adventurous
750,adventurous
751,adventurous
752,other
753,adventurous
754,adventurous
755,adventurous
756,academic
757,adventurous
758,adventurous
759,academic
760,adventurous
761,adventurous
762,academic
763,adventurous
764,adventurous
765,adventurous
766,adventurous
767,adventurous
768,adventurous
769,adventurous
770,adventurous
771,adventurous
772,adventurous
773,adventurous
774,adventurous
775,adventurous
776,academic
777,adventurous
778,adventurous
779,adventurous
780,other
781,adventurous
782,adventurous
783,other
784,adventurous
785,academic
786,adventurous
787,adventurous
788,adventurous
789,adventurous
790,other
791,adventurous
792,academic
793,academic
794,academic
795,adventurous
796,adventurous
797,adventurous
798,adventurous
799,adventurous
800,adventurous
801,academic
802,adventurous
803,other
804,adventurous
805,adventurous
806,adventurous
807,adventurous
808,adventurous
809,adventurous
810,adventurous
811,adventurous
812,adventurous
813,adventurous
814,adventurous
815,adventurous
816,adventurous
817,other
818,adventurous
819,adventurous
820,other
821,adventurous
822,other
823,academic
824,adventurous
825,academic
826,adventurous
827,adventurous
828,other
829,adventurous
830,adventurous
831,adventurous
832,adventurous
833,adventurous
834,adventurous
835,adventurous
836,adventurous
837,adventurous
838,other
839,adventurous
840,adventurous
841,adventurous
842,other
843,adventurous
844,adventurous
845,adventurous
846,adventurous
847,other
848,adventurous
849,adventurous
850,adventurous
851,academic
852,adventurous
853,adventurous
854,adventurous
855,adventurous
856,other
857,adventurous
858,adventurous
859,adventurous
860,adventurous
861,academic
862,adventurous
863,adventurous
864,adventurous
865,adventurous
866,adventurous
867,adventurous
868,other
869,academic
870,adventurous
871,adventurous
872,adventurous
873,other
874,adventurous
875,academic
876,other
877,adventurous
878,adventurous
879,adventurous
880,adventurous
881,adventurous
882,adventurous
883,adventurous
884,adventurous
885,adventurous
886,adventurous
887,adventurous
888,academic
889,adventurous
890,adventurous
891,adventurous
892,adventurous
893,adventurous
894,adventurous
895,adventurous
896,adventurous
897,adventurous
898,adventurous
899,adventurous
900,academic
901,adventurous
902,adventurous
903,adventurous
904,adventurous
905,academic
906,adventurous
907,adventurous
908,adventurous
909,academic
910,adventurous
911,adventurous
912,adventurous
913,academic
914,academic
915,adventurous
916,adventurous
917,adventurous
918,adventurous
919,adventurous
920,adventurous
921,other
922,adventurous
923,adventurous
924,adventurous
925,academic
926,adventurous
927,adventurous
928,adventurous
929,adventurous
930,adventurous
931,adventurous
932,adventurous
933,adventurous
934,adventurous
935,adventurous
936,academic
937,academic
938,adventurous
939,adventurous
940,adventurous
941,academic
942,adventurous
943,adventurous
944,adventurous
945,adventurous
946,adventurous
947,adventurous
948,other
949,other
950,academic
951,adventurous
952,adventurous
953,adventurous
954,adventurous
955,adventurous
956,other
957,academic
958,adventurous
959,adventurous
960,adventurous
961,adventurous
962,academic
963,other
964,adventurous
965,adventurous
966,other
967,adventurous
968,adventurous
969,adventurous
970,adventurous
971,adventurous
972,other
973,adventurous
974,adventurous
975,adventurous
976,other
977,other
978,academic
979,adventurous
980,adventurous
981,adventurous
982,adventurous
983,adventurous
984,adventurous
985,adventurous
986,adventurous
987,adventurous
988,adventurous
989,academic
990,adventurous
991,adventurous
992,adventurous
993,adventurous
994,adventurous
995,adventurous
996,academic
997,adventurous
998,other
999,adventurous
1000,adventurous
1001,adventurous
1002,academic
1003,adventurous
1004,adventurous
1005,academic
1006,adventurous
1007,adventurous
1008,adventurous
1009,adventurous
1010,other
1011,adventurous
1012,adventurous
1013,adventurous
1014,adventurous
1015,adventurous
1016,academic
1017,adventurous
1018,adventurous
1019,adventurous
1020,adventurous
1021,adventurous
1022,adventurous
1023,adventurous
1024,adventurous
1025,adventurous
1026,academic
1027,adventurous
1028,adventurous
1029,adventurous
1030,academic
1031,adventurous
1032,other
1033,adventurous
1034,adventurous
1035,adventurous
1036,adventurous
1037,adventurous
1038,adventurous
1039,adventurous
1040,adventurous
1041,adventurous
1042,adventurous
1043,adventurous
1044,adventurous
1045,adventurous
1046,adventurous
1047,adventurous
1048,adventurous
1049,adventurous
1050,adventurous
1051,adventurous
1052,adventurous
1053,adventurous
1054,adventurous
1055,adventurous
1056,adventurous
1057,academic
1058,adventurous
1059,academic
1060,adventurous
1061,adventurous
1062,adventurous
1063,adventurous
1064,adventurous
1065,adventurous
1066,adventurous
1067,adventurous
1068,academic
1069,adventurous
1070,adventurous
1071,other
1072,other
1073,academic
1074,adventurous
1075,adventurous
1076,adventurous
1077,adventurous
1078,adventurous
1079,adventurous
1080,adventurous
1081,adventurous
1082,adventurous
1083,adventurous
1084,adventurous
1085,adventurous
1086,adventurous
1087,adventurous
1088,other
1089,academic
1090,adventurous
1091,other
1092,academic
1093,adventurous
1094,adventurous
1095,adventurous
1096,academic
1097,adventurous
1098,adventurous
1099,adventurous
1100,adventurous
1101,adventurous
1102,adventurous
1103,adventurous
1104,adventurous
1105,adventurous
1106,adventurous
1107,academic
1108,adventurous
1109,adventurous
1110,adventurous
1111,adventurous
1112,adventurous
1113,adventurous
1114,adventurous
1115,adventurous
1116,adventurous
1117,adventurous
1118,adventurous
1119,other
1120,academic
1121,adventurous
1122,adventurous
1123,adventurous
1124,adventurous
1125,adventurous
1126,adventurous
1127,adventurous
1128,adventurous
1129,adventurous
1130,adventurous
1131,adventurous
1132,adventurous
1133,adventurous
1134,adventurous
1135,academic
1136,adventurous
1137,adventurous
1138,adventurous
1139,adventurous
1140,adventurous
1141,adventurous
1142,adventurous
1143,adventurous
1144,adventurous
1145,adventurous
1146,adventurous
1147,adventurous
1148,academic
1149,adventurous
1150,adventurous
1151,adventurous
1152,adventurous
1153,academic
1154,adventurous
1155,adventurous
1156,adventurous
1157,adventurous
1158,adventurous
1159,adventurous
1160,adventurous
1161,academic
1162,other
1163,adventurous
1164,academic
1165,adventurous
1166,academic
1167,adventurous
1168,adventurous
1169,adventurous
1170,adventurous
1171,academic
1172,adventurous
1173,academic
1174,adventurous
1175,adventurous
1176,other
1177,adventurous
1178,adventurous
1179,adventurous
1180,adventurous
1181,adventurous
1182,adventurous
1183,adventurous
1184,academic
1185,academic
1186,adventurous
1187,academic
1188,academic
1189,other
1190,academic
1191,adventurous
1192,adventurous
1193,adventurous
1194,adventurous
1195,adventurous
1196,adventurous
1197,adventurous
1198,adventurous
1199,adventurous
1200,adventurous
1201,adventurous
1202,adventurous
1203,adventurous
1204,academic
1205,adventurous
1206,adventurous
1207,adventurous
1208,adventurous
1209,adventurous
1210,adventurous
1211,adventurous
1212,adventurous
1213,adventurous
1214,adventurous
1215,adventurous
1216,adventurous
1217,adventurous
1218,adventurous
1219,adventurous
1220,adventurous
1221,adventurous
1222,adventurous
1223,adventurous
1224,academic
1225,adventurous
1226,adventurous
1227,other
1228,adventurous
1229,adventurous
1230,adventurous
1231,academic
1232,other
1233,adventurous
1234,academic
1235,adventurous
1236,academic
1237,adventurous
1238,adventurous
1239,adventurous
1240,other
1241,adventurous
1242,adventurous
1243,adventurous
1244,adventurous
1245,adventurous
1246,academic
1247,adventurous
1248,adventurous
1249,adventurous
1250,adventurous
1251,academic
1252,adventurous
1253,adventurous
1254,adventurous
1255,adventurous
1256,adventurous
1257,adventurous
1258,other
1259,adventurous
1260,adventurous
1261,adventurous
1262,adventurous
1263,adventurous
1264,other
1265,adventurous
1266,adventurous
1267,adventurous
1268,adventurous
1269,adventurous
1270,adventurous
1271,adventurous
1272,adventurous
1273,adventurous
1274,academic
1275,adventurous
1276,other
1277,adventurous
1278,adventurous
1279,adventurous
1280,adventurous
1281,adventurous
1282,adventurous
1283,adventurous
1284,adventurous
1285,adventurous
1286,adventurous
1287,other
1288,adventurous
1289,adventurous
1290,other
1291,adventurous
1292,adventurous
1293,adventurous
1294,adventurous
1295,adventurous
1296,adventurous
1297,adventurous
1298,adventurous
1299,adventurous
1300,adventurous
1301,academic
1302,other
1303,adventurous
1304,adventurous
1305,adventurous
1306,adventurous
1307,adventurous
1308,adventurous
1309,adventurous
1310,adventurous
1311,adventurous
1312,adventurous
1313,adventurous
1314,adventurous
1315,other
1316,adventurous
1317,academic
1318,adventurous
1319,adventurous
1320,adventurous
1321,other
1322,academic
1323,adventurous
1324,adventurous
1325,adventurous
1326,adventurous
1327,other
1328,adventurous
1329,adventurous
1330,adventurous
1331,adventurous
1332,adventurous
1333,adventurous
1334,adventurous
1335,adventurous
1336,adventurous
1337,adventurous
1338,other
1339,adventurous
1340,adventurous
1341,adventurous
1342,adventurous
1343,adventurous
1344,adventurous
1345,adventurous
1346,adventurous
1347,adventurous
1348,adventurous
1349,adventurous
1350,adventurous
1351,adventurous
1352,adventurous
1353,adventurous
1354,adventurous
1355,academic
1356,academic
1357,adventurous
1358,adventurous
1359,adventurous
1360,adventurous
1361,academic
1362,other
1363,adventurous
1364,academic
1365,adventurous
1366,academic
1367,adventurous
1368,other
1369,adventurous
1370,adventurous
1371,academic
1372,adventurous
1373,adventurous
1374,adventurous
1375,adventurous
1376,other
1377,adventurous
1378,adventurous
1379,other
1380,adventurous
1381,adventurous
1382,academic
1383,adventurous
1384,adventurous
1385,adventurous
1386,academic
1387,academic
1388,adventurous
1389,adventurous
1390,adventurous
1391,adventurous
1392,academic
1393,academic
1394,adventurous
1395,adventurous
1396,adventurous
1397,adventurous
1398,adventurous
1399,adventurous
1400,adventurous
1401,adventurous
1402,adventurous
1403,adventurous
1404,other
1405,adventurous
1406,adventurous
1407,adventurous
1408,adventurous
1409,adventurous
1410,adventurous
1411,adventurous
1412,adventurous
1413,adventurous
1414,adventurous
1415,adventurous
1416,adventurous
1417,adventurous
1418,academic
1419,adventurous
1420,adventurous
1421,adventurous
1422,adventurous
1423,other
1424,adventurous
1425,adventurous
1426,adventurous
1427,adventurous
1428,adventurous
1429,adventurous
1430,adventurous
1431,adventurous
1432,adventurous
1433,other
1434,adventurous
1435,academic
1436,adventurous
1437,adventurous
1438,adventurous
1439,adventurous
1440,academic
1441,adventurous
1442,academic
1443,academic
1444,adventurous
1445,adventurous
1446,adventurous
1447,other
1448,other
1449,academic
1450,adventurous
1451,adventurous
1452,adventurous
1453,academic
1454,other
1455,adventurous
1456,adventurous
1457,adventurous
1458,adventurous
1459,adventurous
1460,adventurous
1461,adventurous
1462,adventurous
1463,academic
1464,other
1465,academic
1466,other
1467,adventurous
1468,adventurous
1469,other
1470,adventurous
1471,adventurous
1472,adventurous
1473,adventurous
1474,other
1475,adventurous
1476,adventurous
1477,academic
1478,adventurous
1479,adventurous
1480,adventurous
1481,other
1482,adventurous
1483,adventurous
1484,other
1485,adventurous
1486,other
1487,adventurous
1488,adventurous
1489,adventurous
1490,other
1491,adventurous
1492,adventurous
1493,adventurous
1494,adventurous
1495,adventurous
1496,adventurous
1497,adventurous
1498,adventurous
1499,adventurous
1500,adventurous
1501,adventurous
1502,academic
1503,adventurous
1504,academic
1505,adventurous
1506,other
1507,adventurous
1508,adventurous
1509,academic
1510,adventurous
1511,adventurous
1512,other
1513,adventurous
1514,academic
1515,adventurous
1516,adventurous
1517,adventurous
1518,adventurous
1519,academic
1520,adventurous
1521,academic
1522,adventurous
1523,adventurous
1524,adventurous
1525,adventurous
1526,adventurous
1527,adventurous
1528,adventurous
1529,academic
1530,adventurous
1531,adventurous
1532,adventurous
1533,adventurous
1534,adventurous
1535,adventurous
1536,adventurous
1537,adventurous
1538,academic
1539,adventurous
1540,adventurous
1541,academic
1542,adventurous
1543,adventurous
1544,academic
1545,adventurous
1546,adventurous
1547,adventurous
1548,adventurous
1549,adventurous
1550,adventurous
1551,adventurous
1552,adventurous
1553,adventurous
1554,adventurous
1555,adventurous
1556,adventurous
1557,adventurous
1558,adventurous
1559,adventurous
1560,adventurous
1561,adventurous
1562,adventurous
1563,academic
1564,adventurous
1565,adventurous
1566,adventurous
1567,adventurous
1568,adventurous
1569,adventurous
1570,adventurous
1571,adventurous
1572,adventurous
1573,adventurous
1574,adventurous
1575,academic
1576,other
1577,adventurous
1578,adventurous
1579,adventurous
1580,adventurous
1581,adventurous
1582,adventurous
1583,adventurous
1584,adventurous
1585,adventurous
1586,adventurous
1587,other
1588,adventurous
1589,adventurous
1590,adventurous
1591,adventurous
1592,adventurous
1593,adventurous
1594,adventurous
1595,adventurous
1596,adventurous
1597,adventurous
1598,adventurous
1599,adventurous
1600,adventurous
1601,adventurous
1602,adventurous
1603,adventurous
1604,adventurous
1605,adventurous
1606,adventurous
1607,adventurous
1608,adventurous
1609,adventurous
1610,adventurous
1611,adventurous
1612,adventurous
1613,other
1614,adventurous
1615,academic
1616,adventurous
1617,adventurous
1618,adventurous
1619,adventurous
1620,adventurous
1621,adventurous
1622,adventurous
1623,adventurous
1624,adventurous
1625,adventurous
1626,other
1627,adventurous
1628,adventurous
1629,adventurous
1630,adventurous
1631,other
1632,adventurous
1633,adventurous
1634,academic
1635,adventurous
1636,academic
1637,adventurous
1638,adventurous
1639,adventurous
1640,adventurous
1641,adventurous
1642,adventurous
1643,other
1644,adventurous
1645,academic
1646,adventurous
1647,adventurous
1648,adventurous
1649,academic
1650,academic
1651,adventurous
1652,adventurous
1653,adventurous
1654,adventurous
1655,adventurous
1656,adventurous
1657,adventurous
1658,adventurous
1659,adventurous
1660,adventurous
1661,adventurous
1662,adventurous
1663,academic
1664,adventurous
1665,adventurous
1666,academic
1667,adventurous
1668,adventurous
1669,adventurous
1670,adventurous
1671,adventurous
1672,academic
1673,adventurous
1674,adventurous
1675,adventurous
1676,adventurous
1677,adventurous
1678,other
1679,adventurous
1680,adventurous
1681,adventurous
1682,academic
1683,adventurous
1684,adventurous
1685,adventurous
1686,adventurous
1687,adventurous
1688,adventurous
1689,adventurous
1690,adventurous
1691,adventurous
1692,adventurous
1693,academic
1694,adventurous
1695,adventurous
1696,adventurous
1697,adventurous
1698,adventurous
1699,adventurous
1700,adventurous
1701,adventurous
1702,adventurous
1703,adventurous
1704,adventurous
1705,adventurous
1706,other
1707,adventurous
1708,adventurous
1709,adventurous
1710,adventurous
1711,adventurous
1712,academic
1713,adventurous
1714,adventurous
1715,adventurous
1716,adventurous
1717,other
1718,academic
1719,adventurous
1720,adventurous
1721,adventurous
1722,adventurous
1723,adventurous
1724,other
1725,adventurous
1726,adventurous
1727,adventurous
1728,adventurous
1729,adventurous
1730,adventurous
1731,other
1732,adventurous
1733,adventurous
1734,adventurous
1735,adventurous
1736,adventurous
1737,adventurous
1738,adventurous
1739,adventurous
1740,adventurous
1741,adventurous
1742,adventurous
1743,adventurous
1744,adventurous
1745,adventurous
1746,adventurous
1747,other
1748,adventurous
1749,adventurous
1750,adventurous
1751,adventurous
1752,adventurous
1753,adventurous
1754,adventurous
1755,adventurous
1756,adventurous
1757,adventurous
1758,adventurous
1759,adventurous
1760,adventurous
1761,adventurous
1762,adventurous
1763,adventurous
1764,adventurous
1765,adventurous
1766,adventurous
1767,adventurous
1768,adventurous
1769,adventurous
1770,adventurous
1771,adventurous
1772,academic
1773,adventurous
1774,adventurous
1775,other
1776,adventurous
1777,academic
1778,adventurous
1779,adventurous
1780,adventurous
1781,adventurous
1782,adventurous
1783,adventurous
1784,adventurous
1785,academic
1786,academic
1787,academic
1788,adventurous
1789,adventurous
1790,other
1791,adventurous
1792,adventurous
1793,adventurous
1794,adventurous
1795,adventurous
1796,adventurous
1797,adventurous
1798,academic
1799,adventurous
1800,adventurous
1801,academic
1802,adventurous
1803,adventurous
1804,academic
1805,adventurous
1806,adventurous
1807,adventurous
1808,adventurous
1809,academic
1810,academic
1811,adventurous
1812,adventurous
1813,adventurous
1814,adventurous
1815,adventurous
1816,adventurous
1817,adventurous
1818,adventurous
1819,adventurous
1820,adventurous
1821,academic
1822,adventurous
1823,other
1824,adventurous
1825,adventurous
1826,adventurous
1827,adventurous
1828,other
1829,adventurous
1830,adventurous
1831,adventurous
1832,adventurous
1833,adventurous
1834,academic
1835,academic
1836,adventurous
1837,adventurous
1838,academic
1839,adventurous
1840,adventurous
1841,adventurous
1842,adventurous
1843,academic
1844,adventurous
1845,adventurous
1846,adventurous
1847,adventurous
1848,adventurous
1849,other
1850,adventurous
1851,adventurous
1852,adventurous
1853,adventurous
1854,adventurous
1855,adventurous
1856,adventurous
1857,adventurous
1858,adventurous
1859,adventurous
1860,adventurous
1861,academic
1862,academic
1863,other
1864,adventurous
1865,adventurous
1866,adventurous
1867,academic
1868,academic
1869,adventurous
1870,adventurous
1871,adventurous
1872,other
1873,other
1874,adventurous
1875,academic
1876,adventurous
1877,adventurous
1878,adventurous
1879,adventurous
1880,adventurous
1881,adventurous
1882,adventurous
1883,adventurous
1884,adventurous
1885,adventurous
1886,adventurous
1887,adventurous
1888,adventurous
1889,adventurous
1890,academic
1891,adventurous
1892,adventurous
1893,adventurous
1894,academic
1895,adventurous
1896,adventurous
1897,adventurous
1898,adventurous
1899,adventurous
1900,adventurous
1901,adventurous
1902,adventurous
1903,adventurous
1904,adventurous
1905,adventurous
1906,adventurous
1907,adventurous
1908,adventurous
1909,adventurous
1910,adventurous
1911,adventurous
1912,other
1913,academic
1914,adventurous
1915,adventurous
1916,adventurous
1917,adventurous
1918,adventurous
1919,adventurous
1920,adventurous
1921,adventurous
1922,academic
1923,academic
1924,adventurous
1925,other
1926,adventurous
1927,academic
1928,adventurous
1929,other
1930,adventurous
1931,adventurous
1932,adventurous
1933,adventurous
1934,adventurous
1935,adventurous
1936,academic
1937,adventurous
1938,adventurous
1939,adventurous
1940,adventurous
1941,adventurous
1942,adventurous
1943,adventurous
1944,other
1945,adventurous
1946,adventurous
1947,academic
1948,adventurous
1949,adventurous
1950,academic
1951,adventurous
1952,adventurous
1953,adventurous
1954,academic
1955,adventurous
1956,academic
1957,adventurous
1958,adventurous
1959,adventurous
1960,adventurous
1961,adventurous
1962,adventurous
1963,adventurous
1964,adventurous
1965,adventurous
1966,adventurous
1967,adventurous
1968,adventurous
1969,adventurous
1970,adventurous
1971,adventurous
1972,other
1973,academic
1974,adventurous
1975,adventurous
1976,academic
1977,other
1978,other
1979,adventurous
1980,adventurous
1981,adventurous
1982,adventurous
1983,academic
1984,adventurous
1985,academic
1986,adventurous
1987,adventurous
1988,adventurous
1989,adventurous
1990,academic
1991,other
1992,adventurous
1993,academic
1994,adventurous
1995,adventurous
1996,adventurous
